[2022-10-30 00:43:22,369] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "[\r][\n]"
[2022-10-30 00:43:22,370] org.apache.http.impl.conn.Wire wire 87 - http-outgoing-0 << "{"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"106.0.5249.120","chrome":{"chromedriverVersion":"106.0.5249.61 (511755355844955cd3e264779baf0dd38212a4d0-refs/branch-heads/5249@{#569})","userDataDir":"C:\\Users\\Anurag\\AppData\\Local\\Temp\\scoped_dir37680_862307856"},"goog:chromeOptions":{"debuggerAddress":"localhost:61236"},"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"windows","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:virtualAuthenticators":true},"sessionId":"ad4836afe986d930b02f6451ba06e0ba"}}"
[2022-10-30 00:43:22,386] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 122 - http-outgoing-0 << HTTP/1.1 200 OK
[2022-10-30 00:43:22,386] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 125 - http-outgoing-0 << Content-Length:791
[2022-10-30 00:43:22,387] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 125 - http-outgoing-0 << Content-Type:application/json; charset=utf-8
[2022-10-30 00:43:22,387] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 125 - http-outgoing-0 << cache-control:no-cache
[2022-10-30 00:43:22,397] org.apache.http.impl.execchain.MainClientExec execute 285 - Connection can be kept alive indefinitely
[2022-10-30 00:43:22,406] org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection 320 - Connection [id: 0][route: {}->http://localhost:40695] can be kept alive indefinitely
[2022-10-30 00:43:22,407] org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection 326 - Connection released: [id: 0][route: {}->http://localhost:40695][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
[2022-10-30 00:43:22,544] org.apache.http.client.protocol.RequestAddCookies process 123 - CookieSpec selected: default
[2022-10-30 00:43:22,548] org.apache.http.client.protocol.RequestAuthCache process 77 - Auth cache not set in the context
[2022-10-30 00:43:22,550] org.apache.http.impl.conn.PoolingHttpClientConnectionManager requestConnection 255 - Connection request: [route: {}->http://localhost:40695][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
[2022-10-30 00:43:22,551] org.apache.http.impl.conn.PoolingHttpClientConnectionManager leaseConnection 288 - Connection leased: [id: 0][route: {}->http://localhost:40695][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
[2022-10-30 00:43:22,551] org.apache.http.impl.execchain.MainClientExec execute 208 - Stale connection check
[2022-10-30 00:43:22,553] org.apache.http.impl.conn.Wire wire 87 - http-outgoing-0 << "[read] I/O error: Read timed out"
[2022-10-30 00:43:22,553] org.apache.http.impl.conn.LoggingManagedHttpClientConnection setSocketTimeout 88 - http-outgoing-0: set socket timeout to 10800000
